Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Project 1,Experiment 2,2018-08-15,ICN7,Stylophora pistillata,ISR,29.5,34.93333,ICN7-33,2018-08-15,Wild,33,420,0.495,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16161
Project 1,Experiment 2,2018-08-15,ICN1,Stylophora pistillata,ISR,29.5,34.93333,ICN1-36,2018-08-15,Wild,36,420,0.125,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16162
Project 1,Experiment 2,2018-08-15,ICN2,Stylophora pistillata,ISR,29.5,34.93333,ICN2-36,2018-08-15,Wild,36,420,0.113,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16163
Project 1,Experiment 2,2018-08-15,ICN3,Stylophora pistillata,ISR,29.5,34.93333,ICN3-36,2018-08-15,Wild,36,420,0.128,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16164
Project 1,Experiment 2,2018-08-15,ICN4,Stylophora pistillata,ISR,29.5,34.93333,ICN4-36,2018-08-15,Wild,36,420,0.072,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16165
Project 1,Experiment 2,2018-08-15,ICN5,Stylophora pistillata,ISR,29.5,34.93333,ICN5-36,2018-08-15,Wild,36,420,0.077,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16166
Project 1,Experiment 2,2018-08-15,ICN6,Stylophora pistillata,ISR,29.5,34.93333,ICN6-36,2018-08-15,Wild,36,420,0.11,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16167
Project 1,Experiment 2,2018-08-15,ICN7,Stylophora pistillata,ISR,29.5,34.93333,ICN7-36,2018-08-15,Wild,36,420,0.089,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16168
Project 1,Experiment 2,2018-08-15,ICN1,Stylophora pistillata,ISR,29.5,34.93333,ICN1-39,2018-08-15,Wild,39,420,0.053,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16169
Project 1,Experiment 2,2018-08-15,ICN2,Stylophora pistillata,ISR,29.5,34.93333,ICN2-39,2018-08-15,Wild,39,420,0.073,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16170
Project 1,Experiment 2,2018-08-15,ICN3,Stylophora pistillata,ISR,29.5,34.93333,ICN3-39,2018-08-15,Wild,39,420,0.023,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16171
Project 1,Experiment 2,2018-08-15,ICN4,Stylophora pistillata,ISR,29.5,34.93333,ICN4-39,2018-08-15,Wild,39,420,0.033,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16172
Project 1,Experiment 2,2018-08-15,ICN5,Stylophora pistillata,ISR,29.5,34.93333,ICN5-39,2018-08-15,Wild,39,420,0.136,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16173
Project 1,Experiment 2,2018-08-15,ICN6,Stylophora pistillata,ISR,29.5,34.93333,ICN6-39,2018-08-15,Wild,39,420,0.055,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16174
Project 1,Experiment 2,2018-08-15,ICN7,Stylophora pistillata,ISR,29.5,34.93333,ICN7-39,2018-08-15,Wild,39,420,0.142,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16175
